Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,211373303,2711.812285,4253235,54.56684813,414439,4424341,56.76205134,64297,0.824897903,6286
United States of America,Americas,37405329,11300.61,838639,253.36,0,622459,188.05,5658,1.71,0
India,South-East Asia,32449306,2351.39,223793,16.22,25072,434756,31.5,3114,0.23,389
Brazil,Americas,20556487,9670.94,206345,97.08,28388,574209,270.14,5421,2.55,698
Russian Federation,Europe,6747087,4623.37,146251,100.22,20564,176044,120.63,5545,3.8,762
The United Kingdom,Europe,6460934,9517.33,219919,323.95,31783,131591,193.84,697,1.03,104
France,Europe,6426297,9880.63,136121,209.29,22636,111955,172.13,558,0.86,64
Turkey,Europe,6197041,7347.77,137235,162.72,19351,54327,64.41,1322,1.57,232
Argentina,Americas,5130852,11352.5,49944,110.51,5889,110217,243.87,1281,2.83,147
Colombia,Americas,4886897,9604.2,22268,43.76,2965,124121,243.93,765,1.5,98
Spain,Europe,4758003,10052.27,39454,83.35,0,83004,175.36,266,0.56,0
Iran (Islamic Republic of),Eastern Mediterranean,4640695,5525.1,251610,299.56,24179,101354,120.67,4146,4.94,544
Italy,Europe,4478691,7509.35,43683,73.24,7466,128728,215.84,315,0.53,45
Indonesia,South-East Asia,3979456,1454.89,107718,39.38,0,126372,46.2,7539,2.76,0
Germany,Europe,3868197,4651.14,47184,56.73,7050,91976,110.59,109,0.13,3
Mexico,Americas,3217415,2495.42,125444,97.29,20307,252927,196.17,4760,3.69,847
Poland,Europe,2886698,7604.95,1365,3.6,185,75316,198.42,17,0.04,0
South Africa,Africa,2680225,4519.11,84778,142.94,13261,79251,133.62,2382,4.02,268
Ukraine,Europe,2274561,5200.93,8649,19.78,1003,53457,122.23,202,0.46,25
Peru,Americas,2141235,6494.13,8401,25.48,1173,197818,599.96,478,1.45,66
Netherlands,Europe,1916316,11008.51,16806,96.54,2467,17947,103.1,41,0.24,8
Philippines,Western Pacific,1824051,1664.57,97184,88.69,16694,31596,28.83,1526,1.39,398
Iraq,Eastern Mediterranean,1819455,4523.48,50702,126.05,3958,20110,50,504,1.25,85
Czechia,Europe,1677512,15686.57,1290,12.06,134,30385,284.13,12,0.11,1
Chile,Americas,1633816,8546.76,4624,24.19,663,36650,191.72,270,1.41,45
Malaysia,Western Pacific,1535286,4743.51,150933,466.33,22262,13936,43.06,1708,5.28,223
Canada,Americas,1465866,3883.9,14874,39.41,0,26789,70.98,88,0.23,0
Bangladesh,South-East Asia,1461998,887.73,36137,21.94,0,25282,15.35,933,0.57,0
Japan,Western Pacific,1277439,1010.02,149057,117.85,25144,15596,12.33,196,0.15,33
Belgium,Europe,1163726,10099.65,9142,79.34,0,25320,219.75,23,0.2,0
Pakistan,Eastern Mediterranean,1119970,507.02,25271,11.44,3084,24848,11.25,509,0.23,65
Sweden,Europe,1116584,10811.66,5416,52.44,0,14668,142.03,1,0.01,0
Romania,Europe,1090925,5644.03,3702,19.15,517,34412,178.03,64,0.33,9
Thailand,South-East Asia,1066786,1528.35,138472,198.38,17491,9562,13.7,1828,2.62,242
Portugal,Europe,1017308,9880.7,16190,157.25,2676,17630,171.23,81,0.79,8
Israel,Europe,988239,11417.41,47224,545.59,1676,6791,78.46,107,1.24,4
Hungary,Europe,810781,8299.08,465,4.76,0,30046,307.55,8,0.08,0
Morocco,Eastern Mediterranean,806288,2184.44,54212,146.87,6513,11677,31.64,744,2.02,90
Kazakhstan,Europe,797676,4248.22,37435,199.37,0,11725,62.44,0,0,0
Jordan,Eastern Mediterranean,788516,7728.17,6306,61.8,428,10285,100.8,82,0.8,12
Switzerland,Europe,749437,8659.39,12574,145.29,0,10389,120.04,14,0.16,0
Nepal,South-East Asia,747433,2565.25,12595,43.23,0,10509,36.07,182,0.62,0
Serbia,Europe,741071,10698.75,9844,142.12,1510,7206,104.03,43,0.62,11
United Arab Emirates,Eastern Mediterranean,708302,7161.51,7715,78,1066,2018,20.4,21,0.21,4
Austria,Europe,670964,7538.02,7606,85.45,1309,10563,118.67,4,0.04,1
Tunisia,Eastern Mediterranean,638072,5398.87,14132,119.57,0,22457,190.01,630,5.33,0
Lebanon,Eastern Mediterranean,590983,8658.53,9486,138.98,1386,8008,117.33,36,0.53,4
Cuba,Americas,583299,5149.81,65631,579.44,9548,4544,40.12,521,4.6,63
Greece,Europe,557239,5198.82,22002,205.27,3184,13351,124.56,145,1.35,23
Saudi Arabia,Eastern Mediterranean,541610,1555.73,3627,10.42,409,8469,24.33,70,0.2,11
Georgia,Europe,514744,12903.52,33166,831.4,3803,6771,169.73,365,9.15,48
Ecuador,Americas,495115,2806.29,100,0.57,0,31985,181.29,12,0.07,0
Bolivia (Plurinational State of),Americas,486394,4166.82,4263,36.52,468,18296,156.74,144,1.23,27
Belarus,Europe,468415,4957.13,8417,89.08,1467,3670,38.84,77,0.81,11
Paraguay,Americas,457612,6415.84,1023,14.34,140,15550,218.01,130,1.82,22
Panama,Americas,451984,10475.28,4723,109.46,691,7003,162.3,56,1.3,5
Bulgaria,Europe,440911,6342.69,7949,114.35,845,18467,265.66,128,1.84,8
Costa Rica,Americas,440647,8650.11,10560,207.3,0,5312,104.28,87,1.71,0
Guatemala,Americas,437919,2444.35,26188,146.17,4580,11450,63.91,365,2.04,78
Kuwait,Eastern Mediterranean,408078,9555.58,1844,43.18,200,2403,56.27,17,0.4,2
Slovakia,Europe,394082,7220.43,553,10.13,105,12547,229.89,3,0.05,0
Sri Lanka,South-East Asia,390000,1821.3,27926,130.41,0,7366,34.4,1160,5.42,0
Azerbaijan,Europe,388437,3831.05,23428,231.06,3551,5279,52.07,141,1.39,27
Uruguay,Americas,384026,11055.15,814,23.43,123,6016,173.19,15,0.43,1
Myanmar,South-East Asia,373685,686.8,16700,30.69,0,14374,26.42,929,1.71,0
Croatia,Europe,369765,9111.63,2743,67.59,373,8301,204.55,18,0.44,3
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,354603,6951.07,5495,107.72,862,3900,76.45,9,0.18,3
Dominican Republic,Americas,347835,3206.47,1659,15.29,198,3989,36.77,9,0.08,0
Denmark,Europe,336746,5783.27,6819,117.11,1024,2564,44.03,5,0.09,1
Viet Nam,Western Pacific,336707,345.91,71243,73.19,13439,7540,7.75,2103,2.16,0
Ireland,Europe,335429,6756.63,12440,250.58,2125,5074,102.21,15,0.3,0
Honduras,Americas,326830,3299.78,10595,106.97,0,8594,86.77,221,2.23,0
Venezuela (Bolivarian Republic of),Americas,324642,1141.66,6457,22.71,1116,3886,13.67,97,0.34,15
Oman,Eastern Mediterranean,300914,5892.62,947,18.54,0,4020,78.72,32,0.63,0
Ethiopia,Africa,295019,256.62,6231,5.42,1282,4553,3.96,82,0.07,14
Lithuania,Europe,293767,10513.87,3957,141.62,425,4487,160.59,36,1.29,6
Libya,Eastern Mediterranean,293532,4271.86,14433,210.05,0,4017,58.46,148,2.15,0
Egypt,Eastern Mediterranean,286168,279.64,911,0.89,173,16663,16.28,48,0.05,9
Bahrain,Eastern Mediterranean,271534,15957.8,718,42.2,102,1386,81.45,2,0.12,1
